SEED, SERVICE_RATE, ARRIVAL_RATE, QUEUE_SIZE, LOSS_RATE, OUTPUT_RATE
400243271, 1000, 100.00, 1, 0.86985, 87.00083
400243271, 1000, 100.00, 2, 0.98983, 98.99282
400243271, 1000, 100.00, 3, 0.99941, 99.95507
400243271, 1000, 100.00, 4, 0.99997, 100.00969
400243271, 1000, 100.00, 5, 0.99999, 100.01195
400243271, 1000, 100.00, 6, 0.99999, 100.01204
400243271, 1000, 100.00, 7, 0.99999, 100.01204
400243271, 1000, 100.00, 8, 0.99999, 100.01204
400243271, 1000, 100.00, 9, 0.99999, 100.01204
400243271, 1000, 100.00, 10, 0.99999, 100.01205
400307241, 1000, 100.00, 1, 0.86979, 86.97480
400307241, 1000, 100.00, 2, 0.98992, 99.00479
400307241, 1000, 100.00, 3, 0.99944, 99.95630
400307241, 1000, 100.00, 4, 0.99997, 100.00790
400307241, 1000, 100.00, 5, 0.99999, 100.00995
400307241, 1000, 100.00, 6, 0.99999, 100.01002
400307241, 1000, 100.00, 7, 0.99999, 100.01003
400307241, 1000, 100.00, 8, 0.99999, 100.01004
400307241, 1000, 100.00, 9, 0.99999, 100.01004
400307241, 1000, 100.00, 10, 0.99999, 100.01006
111111, 1000, 100.00, 1, 0.86968, 86.98581
111111, 1000, 100.00, 2, 0.98992, 99.00432
111111, 1000, 100.00, 3, 0.99944, 99.95454
111111, 1000, 100.00, 4, 0.99997, 100.00668
111111, 1000, 100.00, 5, 0.99999, 100.00902
111111, 1000, 100.00, 6, 0.99999, 100.00914
111111, 1000, 100.00, 7, 0.99999, 100.00916
111111, 1000, 100.00, 8, 0.99999, 100.00916
111111, 1000, 100.00, 9, 0.99999, 100.00920
111111, 1000, 100.00, 10, 0.99999, 100.00921
222222, 1000, 100.00, 1, 0.86977, 86.98693
222222, 1000, 100.00, 2, 0.98985, 98.99413
222222, 1000, 100.00, 3, 0.99942, 99.95032
222222, 1000, 100.00, 4, 0.99996, 100.00388
222222, 1000, 100.00, 5, 0.99999, 100.00633
222222, 1000, 100.00, 6, 0.99999, 100.00639
222222, 1000, 100.00, 7, 0.99999, 100.00640
222222, 1000, 100.00, 8, 0.99999, 100.00642
222222, 1000, 100.00, 9, 0.99999, 100.00642
222222, 1000, 100.00, 10, 0.99999, 100.00642
333333, 1000, 100.00, 1, 0.86995, 86.95893
333333, 1000, 100.00, 2, 0.98987, 98.95495
333333, 1000, 100.00, 3, 0.99943, 99.91317
333333, 1000, 100.00, 4, 0.99996, 99.96658
333333, 1000, 100.00, 5, 0.99999, 99.96881
333333, 1000, 100.00, 6, 0.99999, 99.96895
333333, 1000, 100.00, 7, 0.99999, 99.96896
333333, 1000, 100.00, 8, 0.99999, 99.96897
333333, 1000, 100.00, 9, 0.99999, 99.96898
333333, 1000, 100.00, 10, 0.99999, 99.96900
444444, 1000, 100.00, 1, 0.86965, 86.97937
444444, 1000, 100.00, 2, 0.98989, 99.00074
444444, 1000, 100.00, 3, 0.99943, 99.95319
444444, 1000, 100.00, 4, 0.99996, 100.00531
444444, 1000, 100.00, 5, 0.99999, 100.00766
444444, 1000, 100.00, 6, 0.99999, 100.00774
444444, 1000, 100.00, 7, 0.99999, 100.00775
444444, 1000, 100.00, 8, 0.99999, 100.00777
444444, 1000, 100.00, 9, 0.99999, 100.00779
444444, 1000, 100.00, 10, 0.99999, 100.00779
555555, 1000, 100.00, 1, 0.86986, 86.97269
555555, 1000, 100.00, 2, 0.98990, 98.97139
555555, 1000, 100.00, 3, 0.99942, 99.92229
555555, 1000, 100.00, 4, 0.99996, 99.97645
555555, 1000, 100.00, 5, 0.99999, 99.97884
555555, 1000, 100.00, 6, 0.99999, 99.97888
555555, 1000, 100.00, 7, 0.99999, 99.97889
555555, 1000, 100.00, 8, 0.99999, 99.97890
555555, 1000, 100.00, 9, 0.99999, 99.97891
555555, 1000, 100.00, 10, 0.99999, 99.97892
666666, 1000, 100.00, 1, 0.86983, 86.98084
666666, 1000, 100.00, 2, 0.98991, 98.96229
666666, 1000, 100.00, 3, 0.99943, 99.91782
666666, 1000, 100.00, 4, 0.99996, 99.96993
666666, 1000, 100.00, 5, 0.99999, 99.97235
666666, 1000, 100.00, 6, 0.99999, 99.97244
666666, 1000, 100.00, 7, 0.99999, 99.97244
666666, 1000, 100.00, 8, 0.99999, 99.97245
666666, 1000, 100.00, 9, 0.99999, 99.97249
666666, 1000, 100.00, 10, 0.99999, 99.97249
777777, 1000, 100.00, 1, 0.86964, 86.98632
777777, 1000, 100.00, 2, 0.98987, 99.01409
777777, 1000, 100.00, 3, 0.99942, 99.95931
777777, 1000, 100.00, 4, 0.99997, 100.01390
777777, 1000, 100.00, 5, 0.99999, 100.01606
777777, 1000, 100.00, 6, 0.99999, 100.01613
777777, 1000, 100.00, 7, 0.99999, 100.01614
777777, 1000, 100.00, 8, 0.99999, 100.01615
777777, 1000, 100.00, 9, 0.99999, 100.01616
777777, 1000, 100.00, 10, 0.99999, 100.01616
888888, 1000, 100.00, 1, 0.86981, 86.94101
888888, 1000, 100.00, 2, 0.98991, 98.93320
888888, 1000, 100.00, 3, 0.99942, 99.88094
888888, 1000, 100.00, 4, 0.99997, 99.93648
888888, 1000, 100.00, 5, 0.99999, 99.93913
888888, 1000, 100.00, 6, 0.99999, 99.93922
888888, 1000, 100.00, 7, 0.99999, 99.93930
888888, 1000, 100.00, 8, 0.99999, 99.93931
888888, 1000, 100.00, 9, 0.99999, 99.93932
888888, 1000, 100.00, 10, 0.99999, 99.93934
