SEED, SERVICE_RATE, ARRIVAL_RATE, QUEUE_SIZE, LOSS_RATE, OUTPUT_RATE
400243271, 100.000, 100, 3, 0.78965, 78.97519
400243271, 200.000, 100, 3, 0.95211, 95.22797
400243271, 300.000, 100, 3, 0.98307, 98.31745
400243271, 400.000, 100, 3, 0.99225, 99.23555
400243271, 500.000, 100, 3, 0.99580, 99.59310
400243271, 600.000, 100, 3, 0.99749, 99.76243
400243271, 700.000, 100, 3, 0.99838, 99.85167
400243271, 800.000, 100, 3, 0.99889, 99.90223
400243271, 900.000, 100, 3, 0.99922, 99.93486
400243271, 1000.000, 100, 3, 0.99941, 99.95507
400243271, 1100.000, 100, 3, 0.99956, 99.96928
400243271, 1200.000, 100, 3, 0.99966, 99.97949
400243271, 1300.000, 100, 3, 0.99973, 99.98627
400243271, 1400.000, 100, 3, 0.99978, 99.99156
400243271, 1500.000, 100, 3, 0.99982, 99.99566
400307241, 100.000, 100, 3, 0.78965, 78.96061
400307241, 200.000, 100, 3, 0.95206, 95.21579
400307241, 300.000, 100, 3, 0.98307, 98.32078
400307241, 400.000, 100, 3, 0.99227, 99.24179
400307241, 500.000, 100, 3, 0.99587, 99.60244
400307241, 600.000, 100, 3, 0.99755, 99.76896
400307241, 700.000, 100, 3, 0.99843, 99.85667
400307241, 800.000, 100, 3, 0.99893, 99.90667
400307241, 900.000, 100, 3, 0.99924, 99.93609
400307241, 1000.000, 100, 3, 0.99944, 99.95630
400307241, 1100.000, 100, 3, 0.99957, 99.96898
400307241, 1200.000, 100, 3, 0.99967, 99.97911
400307241, 1300.000, 100, 3, 0.99974, 99.98552
400307241, 1400.000, 100, 3, 0.99978, 99.98973
400307241, 1500.000, 100, 3, 0.99982, 99.99352
111111, 100.000, 100, 3, 0.78947, 78.95786
111111, 200.000, 100, 3, 0.95200, 95.20950
111111, 300.000, 100, 3, 0.98305, 98.31657
111111, 400.000, 100, 3, 0.99225, 99.23635
111111, 500.000, 100, 3, 0.99585, 99.59676
111111, 600.000, 100, 3, 0.99752, 99.76403
111111, 700.000, 100, 3, 0.99842, 99.85325
111111, 800.000, 100, 3, 0.99894, 99.90394
111111, 900.000, 100, 3, 0.99924, 99.93392
111111, 1000.000, 100, 3, 0.99944, 99.95454
111111, 1100.000, 100, 3, 0.99957, 99.96701
111111, 1200.000, 100, 3, 0.99967, 99.97711
111111, 1300.000, 100, 3, 0.99974, 99.98457
111111, 1400.000, 100, 3, 0.99979, 99.98919
111111, 1500.000, 100, 3, 0.99983, 99.99292
222222, 100.000, 100, 3, 0.78954, 78.96687
222222, 200.000, 100, 3, 0.95202, 95.21362
222222, 300.000, 100, 3, 0.98299, 98.31184
222222, 400.000, 100, 3, 0.99224, 99.23312
222222, 500.000, 100, 3, 0.99581, 99.59173
222222, 600.000, 100, 3, 0.99751, 99.76223
222222, 700.000, 100, 3, 0.99838, 99.84755
222222, 800.000, 100, 3, 0.99891, 99.90029
222222, 900.000, 100, 3, 0.99922, 99.93084
222222, 1000.000, 100, 3, 0.99942, 99.95032
222222, 1100.000, 100, 3, 0.99956, 99.96359
222222, 1200.000, 100, 3, 0.99966, 99.97308
222222, 1300.000, 100, 3, 0.99972, 99.98025
222222, 1400.000, 100, 3, 0.99977, 99.98493
222222, 1500.000, 100, 3, 0.99981, 99.98891
333333, 100.000, 100, 3, 0.78968, 78.95277
333333, 200.000, 100, 3, 0.95208, 95.17157
333333, 300.000, 100, 3, 0.98306, 98.27272
333333, 400.000, 100, 3, 0.99227, 99.19667
333333, 500.000, 100, 3, 0.99584, 99.55512
333333, 600.000, 100, 3, 0.99751, 99.72337
333333, 700.000, 100, 3, 0.99840, 99.81052
333333, 800.000, 100, 3, 0.99891, 99.86069
333333, 900.000, 100, 3, 0.99922, 99.89251
333333, 1000.000, 100, 3, 0.99943, 99.91317
333333, 1100.000, 100, 3, 0.99956, 99.92642
333333, 1200.000, 100, 3, 0.99965, 99.93520
333333, 1300.000, 100, 3, 0.99972, 99.94210
333333, 1400.000, 100, 3, 0.99977, 99.94679
333333, 1500.000, 100, 3, 0.99981, 99.95118
444444, 100.000, 100, 3, 0.78956, 78.97506
444444, 200.000, 100, 3, 0.95202, 95.21365
444444, 300.000, 100, 3, 0.98309, 98.32067
444444, 400.000, 100, 3, 0.99228, 99.24047
444444, 500.000, 100, 3, 0.99586, 99.59727
444444, 600.000, 100, 3, 0.99752, 99.76142
444444, 700.000, 100, 3, 0.99841, 99.85073
444444, 800.000, 100, 3, 0.99892, 99.90189
444444, 900.000, 100, 3, 0.99923, 99.93268
444444, 1000.000, 100, 3, 0.99943, 99.95319
444444, 1100.000, 100, 3, 0.99957, 99.96687
444444, 1200.000, 100, 3, 0.99967, 99.97641
444444, 1300.000, 100, 3, 0.99973, 99.98321
444444, 1400.000, 100, 3, 0.99978, 99.98799
444444, 1500.000, 100, 3, 0.99983, 99.99200
555555, 100.000, 100, 3, 0.78981, 78.97222
555555, 200.000, 100, 3, 0.95219, 95.20573
555555, 300.000, 100, 3, 0.98309, 98.29130
555555, 400.000, 100, 3, 0.99227, 99.20772
555555, 500.000, 100, 3, 0.99586, 99.56677
555555, 600.000, 100, 3, 0.99751, 99.73274
555555, 700.000, 100, 3, 0.99841, 99.82186
555555, 800.000, 100, 3, 0.99891, 99.87166
555555, 900.000, 100, 3, 0.99922, 99.90300
555555, 1000.000, 100, 3, 0.99942, 99.92229
555555, 1100.000, 100, 3, 0.99956, 99.93611
555555, 1200.000, 100, 3, 0.99966, 99.94569
555555, 1300.000, 100, 3, 0.99973, 99.95356
555555, 1400.000, 100, 3, 0.99978, 99.95824
555555, 1500.000, 100, 3, 0.99982, 99.96186
666666, 100.000, 100, 3, 0.78949, 78.94243
666666, 200.000, 100, 3, 0.95207, 95.18907
666666, 300.000, 100, 3, 0.98306, 98.27704
666666, 400.000, 100, 3, 0.99228, 99.19968
666666, 500.000, 100, 3, 0.99584, 99.55787
666666, 600.000, 100, 3, 0.99753, 99.72809
666666, 700.000, 100, 3, 0.99840, 99.81499
666666, 800.000, 100, 3, 0.99891, 99.86516
666666, 900.000, 100, 3, 0.99923, 99.89695
666666, 1000.000, 100, 3, 0.99943, 99.91782
666666, 1100.000, 100, 3, 0.99957, 99.93122
666666, 1200.000, 100, 3, 0.99966, 99.94047
666666, 1300.000, 100, 3, 0.99974, 99.94789
666666, 1400.000, 100, 3, 0.99979, 99.95314
666666, 1500.000, 100, 3, 0.99983, 99.95688
777777, 100.000, 100, 3, 0.78957, 78.97486
777777, 200.000, 100, 3, 0.95203, 95.23695
777777, 300.000, 100, 3, 0.98303, 98.33018
777777, 400.000, 100, 3, 0.99223, 99.24682
777777, 500.000, 100, 3, 0.99584, 99.60240
777777, 600.000, 100, 3, 0.99752, 99.77000
777777, 700.000, 100, 3, 0.99842, 99.85966
777777, 800.000, 100, 3, 0.99891, 99.90810
777777, 900.000, 100, 3, 0.99922, 99.93928
777777, 1000.000, 100, 3, 0.99942, 99.95931
777777, 1100.000, 100, 3, 0.99956, 99.97337
777777, 1200.000, 100, 3, 0.99966, 99.98235
777777, 1300.000, 100, 3, 0.99973, 99.98939
777777, 1400.000, 100, 3, 0.99979, 99.99563
777777, 1500.000, 100, 3, 0.99982, 99.99869
888888, 100.000, 100, 3, 0.78979, 78.93794
888888, 200.000, 100, 3, 0.95215, 95.15681
888888, 300.000, 100, 3, 0.98309, 98.25279
888888, 400.000, 100, 3, 0.99227, 99.16872
888888, 500.000, 100, 3, 0.99585, 99.52428
888888, 600.000, 100, 3, 0.99751, 99.69191
888888, 700.000, 100, 3, 0.99840, 99.78008
888888, 800.000, 100, 3, 0.99891, 99.83039
888888, 900.000, 100, 3, 0.99921, 99.86036
888888, 1000.000, 100, 3, 0.99942, 99.88094
888888, 1100.000, 100, 3, 0.99956, 99.89509
888888, 1200.000, 100, 3, 0.99966, 99.90496
888888, 1300.000, 100, 3, 0.99973, 99.91232
888888, 1400.000, 100, 3, 0.99978, 99.91795
888888, 1500.000, 100, 3, 0.99982, 99.92200
