SEED, SERVICE_RATE, ARRIVAL_RATE, QUEUE_SIZE,PERIOD,n, LOSS_RATE, OUTPUT_RATE
400243271, 1000000, 100, 20, 1,  350, 0.20002, 20.00000
400307241, 1000000, 100, 20, 1,  350, 0.20000, 20.00000
111111, 1000000, 100, 20, 1,  350, 0.19995, 20.00000
222222, 1000000, 100, 20, 1,  350, 0.19998, 20.00000
333333, 1000000, 100, 20, 1,  350, 0.20000, 20.00000
444444, 1000000, 100, 20, 1,  350, 0.20000, 20.00000
555555, 1000000, 100, 20, 1,  350, 0.19999, 20.00000
666666, 1000000, 100, 20, 1,  350, 0.19995, 20.00000
777777, 1000000, 100, 20, 1,  350, 0.20002, 20.00000
888888, 1000000, 100, 20, 1,  350, 0.20003, 20.00000
