SEED, SERVICE_RATE, ARRIVAL_RATE, QUEUE_SIZE,PERIOD,n, LOSS_RATE, OUTPUT_RATE
400243271, 1000000, 100, 200, 1,  500, 0.03200, 3.20037
400243271, 1000000, 100, 200, 1,  2500, 0.17802, 17.80161
400243271, 1000000, 100, 200, 1,  5000, 0.36007, 35.99880
400243271, 1000000, 100, 200, 1,  7500, 0.54151, 54.13365
400243271, 1000000, 100, 200, 1,  10000, 0.71102, 71.08887
400243271, 1000000, 100, 200, 1,  12500, 0.83435, 83.40423
400243271, 1000000, 100, 200, 1,  15000, 0.90803, 90.75810
400243271, 1000000, 100, 200, 1,  17500, 0.96087, 96.03842
400243271, 1000000, 100, 200, 1,  20000, 0.98763, 98.71181
400307241, 1000000, 100, 200, 1,  500, 0.03200, 3.20011
400307241, 1000000, 100, 200, 1,  2500, 0.17801, 17.80104
400307241, 1000000, 100, 200, 1,  5000, 0.36024, 36.01929
400307241, 1000000, 100, 200, 1,  7500, 0.54189, 54.17030
400307241, 1000000, 100, 200, 1,  10000, 0.70977, 70.94865
400307241, 1000000, 100, 200, 1,  12500, 0.83339, 83.30556
400307241, 1000000, 100, 200, 1,  15000, 0.90648, 90.62157
400307241, 1000000, 100, 200, 1,  17500, 0.95964, 95.93246
400307241, 1000000, 100, 200, 1,  20000, 0.98696, 98.67285
111111, 1000000, 100, 200, 1,  500, 0.03199, 3.19911
111111, 1000000, 100, 200, 1,  2500, 0.17776, 17.77869
111111, 1000000, 100, 200, 1,  5000, 0.35956, 35.96734
111111, 1000000, 100, 200, 1,  7500, 0.54095, 54.11578
111111, 1000000, 100, 200, 1,  10000, 0.70968, 71.00709
111111, 1000000, 100, 200, 1,  12500, 0.83312, 83.35348
111111, 1000000, 100, 200, 1,  15000, 0.90691, 90.74163
111111, 1000000, 100, 200, 1,  17500, 0.95994, 96.04210
111111, 1000000, 100, 200, 1,  20000, 0.98739, 98.78007
222222, 1000000, 100, 200, 1,  500, 0.03200, 3.20036
222222, 1000000, 100, 200, 1,  2500, 0.17803, 17.80468
222222, 1000000, 100, 200, 1,  5000, 0.36018, 36.01358
222222, 1000000, 100, 200, 1,  7500, 0.54229, 54.22229
222222, 1000000, 100, 200, 1,  10000, 0.71158, 71.16273
222222, 1000000, 100, 200, 1,  12500, 0.83514, 83.53870
222222, 1000000, 100, 200, 1,  15000, 0.90854, 90.89256
222222, 1000000, 100, 200, 1,  17500, 0.96071, 96.10764
222222, 1000000, 100, 200, 1,  20000, 0.98751, 98.78885
333333, 1000000, 100, 200, 1,  500, 0.03201, 3.20106
333333, 1000000, 100, 200, 1,  2500, 0.17813, 17.81315
333333, 1000000, 100, 200, 1,  5000, 0.36053, 36.05839
333333, 1000000, 100, 200, 1,  7500, 0.54222, 54.22817
333333, 1000000, 100, 200, 1,  10000, 0.71058, 71.07017
333333, 1000000, 100, 200, 1,  12500, 0.83469, 83.47106
333333, 1000000, 100, 200, 1,  15000, 0.90773, 90.78282
333333, 1000000, 100, 200, 1,  17500, 0.96041, 96.04672
333333, 1000000, 100, 200, 1,  20000, 0.98742, 98.75470
444444, 1000000, 100, 200, 1,  500, 0.03198, 3.19805
444444, 1000000, 100, 200, 1,  2500, 0.17804, 17.80627
444444, 1000000, 100, 200, 1,  5000, 0.35948, 35.96113
444444, 1000000, 100, 200, 1,  7500, 0.54036, 54.05844
444444, 1000000, 100, 200, 1,  10000, 0.70996, 71.02121
444444, 1000000, 100, 200, 1,  12500, 0.83348, 83.38962
444444, 1000000, 100, 200, 1,  15000, 0.90691, 90.74493
444444, 1000000, 100, 200, 1,  17500, 0.96057, 96.11503
444444, 1000000, 100, 200, 1,  20000, 0.98757, 98.81032
555555, 1000000, 100, 200, 1,  500, 0.03202, 3.20195
555555, 1000000, 100, 200, 1,  2500, 0.17800, 17.80044
555555, 1000000, 100, 200, 1,  5000, 0.35999, 35.99686
555555, 1000000, 100, 200, 1,  7500, 0.54108, 54.10641
555555, 1000000, 100, 200, 1,  10000, 0.71065, 71.07017
555555, 1000000, 100, 200, 1,  12500, 0.83526, 83.53940
555555, 1000000, 100, 200, 1,  15000, 0.90881, 90.90661
555555, 1000000, 100, 200, 1,  17500, 0.96104, 96.12612
555555, 1000000, 100, 200, 1,  20000, 0.98752, 98.77421
666666, 1000000, 100, 200, 1,  500, 0.03201, 3.20116
666666, 1000000, 100, 200, 1,  2500, 0.17796, 17.80139
666666, 1000000, 100, 200, 1,  5000, 0.35997, 35.99997
666666, 1000000, 100, 200, 1,  7500, 0.54206, 54.20818
666666, 1000000, 100, 200, 1,  10000, 0.71147, 71.14602
666666, 1000000, 100, 200, 1,  12500, 0.83496, 83.47454
666666, 1000000, 100, 200, 1,  15000, 0.90791, 90.77788
666666, 1000000, 100, 200, 1,  17500, 0.96034, 96.01997
666666, 1000000, 100, 200, 1,  20000, 0.98717, 98.69817
777777, 1000000, 100, 200, 1,  500, 0.03200, 3.20036
777777, 1000000, 100, 200, 1,  2500, 0.17777, 17.77427
777777, 1000000, 100, 200, 1,  5000, 0.35960, 35.95635
777777, 1000000, 100, 200, 1,  7500, 0.54113, 54.10699
777777, 1000000, 100, 200, 1,  10000, 0.71076, 71.06310
777777, 1000000, 100, 200, 1,  12500, 0.83543, 83.53172
777777, 1000000, 100, 200, 1,  15000, 0.90865, 90.84715
777777, 1000000, 100, 200, 1,  17500, 0.96088, 96.07809
777777, 1000000, 100, 200, 1,  20000, 0.98754, 98.74593
888888, 1000000, 100, 200, 1,  500, 0.03199, 3.19857
888888, 1000000, 100, 200, 1,  2500, 0.17798, 17.79584
888888, 1000000, 100, 200, 1,  5000, 0.35947, 35.93425
888888, 1000000, 100, 200, 1,  7500, 0.54118, 54.09294
888888, 1000000, 100, 200, 1,  10000, 0.70988, 70.94362
888888, 1000000, 100, 200, 1,  12500, 0.83416, 83.36877
888888, 1000000, 100, 200, 1,  15000, 0.90773, 90.71611
888888, 1000000, 100, 200, 1,  17500, 0.96062, 95.99693
888888, 1000000, 100, 200, 1,  20000, 0.98758, 98.69525
