SEED, SERVICE_RATE, ARRIVAL_RATE, QUEUE_SIZE,PERIOD,n, LOSS_RATE, OUTPUT_RATE
400243271, 1000000, 100, 200, 1,  20000, 0.98763, 98.71181
400243271, 1000000, 100, 200, 2,  20000, 0.60754, 60.73747
400243271, 1000000, 100, 200, 3,  20000, 0.40607, 40.59133
400243271, 1000000, 100, 200, 4,  20000, 0.30466, 30.45763
400243271, 1000000, 100, 200, 5,  20000, 0.24415, 24.41043
400243271, 1000000, 100, 200, 6,  20000, 0.20312, 20.31005
400243271, 1000000, 100, 200, 7,  20000, 0.17380, 17.38003
400243271, 1000000, 100, 200, 8,  20000, 0.15263, 15.26380
400243271, 1000000, 100, 200, 9,  20000, 0.13529, 13.52850
400243271, 1000000, 100, 200, 10,  20000, 0.12179, 12.17936
400243271, 1000000, 100, 200, 11,  20000, 0.11064, 11.06353
400243271, 1000000, 100, 200, 12,  20000, 0.10154, 10.15417
400243271, 1000000, 100, 200, 13,  20000, 0.09369, 9.36897
400243271, 1000000, 100, 200, 14,  20000, 0.08710, 8.71048
400243271, 1000000, 100, 200, 15,  20000, 0.08128, 8.12760
400307241, 1000000, 100, 200, 1,  20000, 0.98696, 98.67285
400307241, 1000000, 100, 200, 2,  20000, 0.60759, 60.73452
400307241, 1000000, 100, 200, 3,  20000, 0.40706, 40.69689
400307241, 1000000, 100, 200, 4,  20000, 0.30545, 30.53836
400307241, 1000000, 100, 200, 5,  20000, 0.24413, 24.41043
400307241, 1000000, 100, 200, 6,  20000, 0.20327, 20.32640
400307241, 1000000, 100, 200, 7,  20000, 0.17395, 17.39421
400307241, 1000000, 100, 200, 8,  20000, 0.15244, 15.24574
400307241, 1000000, 100, 200, 9,  20000, 0.13557, 13.55838
400307241, 1000000, 100, 200, 10,  20000, 0.12187, 12.18886
400307241, 1000000, 100, 200, 11,  20000, 0.11084, 11.08565
400307241, 1000000, 100, 200, 12,  20000, 0.10153, 10.15429
400307241, 1000000, 100, 200, 13,  20000, 0.09369, 9.36874
400307241, 1000000, 100, 200, 14,  20000, 0.08683, 8.68263
400307241, 1000000, 100, 200, 15,  20000, 0.08107, 8.10674
111111, 1000000, 100, 200, 1,  20000, 0.98739, 98.78007
111111, 1000000, 100, 200, 2,  20000, 0.60746, 60.77291
111111, 1000000, 100, 200, 3,  20000, 0.40579, 40.59084
111111, 1000000, 100, 200, 4,  20000, 0.30427, 30.43501
111111, 1000000, 100, 200, 5,  20000, 0.24298, 24.30482
111111, 1000000, 100, 200, 6,  20000, 0.20308, 20.31253
111111, 1000000, 100, 200, 7,  20000, 0.17366, 17.36883
111111, 1000000, 100, 200, 8,  20000, 0.15229, 15.23125
111111, 1000000, 100, 200, 9,  20000, 0.13523, 13.52406
111111, 1000000, 100, 200, 10,  20000, 0.12171, 12.17210
111111, 1000000, 100, 200, 11,  20000, 0.11076, 11.07728
111111, 1000000, 100, 200, 12,  20000, 0.10142, 10.14305
111111, 1000000, 100, 200, 13,  20000, 0.09350, 9.35052
111111, 1000000, 100, 200, 14,  20000, 0.08682, 8.68242
111111, 1000000, 100, 200, 15,  20000, 0.08103, 8.10369
222222, 1000000, 100, 200, 1,  20000, 0.98751, 98.78885
222222, 1000000, 100, 200, 2,  20000, 0.60784, 60.78473
222222, 1000000, 100, 200, 3,  20000, 0.40620, 40.61557
222222, 1000000, 100, 200, 4,  20000, 0.30459, 30.45577
222222, 1000000, 100, 200, 5,  20000, 0.24372, 24.37354
222222, 1000000, 100, 200, 6,  20000, 0.20307, 20.30882
222222, 1000000, 100, 200, 7,  20000, 0.17427, 17.42859
222222, 1000000, 100, 200, 8,  20000, 0.15209, 15.21031
222222, 1000000, 100, 200, 9,  20000, 0.13535, 13.53559
222222, 1000000, 100, 200, 10,  20000, 0.12180, 12.18114
222222, 1000000, 100, 200, 11,  20000, 0.11054, 11.05518
222222, 1000000, 100, 200, 12,  20000, 0.10138, 10.13972
222222, 1000000, 100, 200, 13,  20000, 0.09338, 9.33940
222222, 1000000, 100, 200, 14,  20000, 0.08727, 8.72814
222222, 1000000, 100, 200, 15,  20000, 0.08116, 8.11740
333333, 1000000, 100, 200, 1,  20000, 0.98742, 98.75470
333333, 1000000, 100, 200, 2,  20000, 0.60881, 60.88762
333333, 1000000, 100, 200, 3,  20000, 0.40626, 40.63290
333333, 1000000, 100, 200, 4,  20000, 0.30497, 30.49701
333333, 1000000, 100, 200, 5,  20000, 0.24368, 24.36908
333333, 1000000, 100, 200, 6,  20000, 0.20313, 20.31327
333333, 1000000, 100, 200, 7,  20000, 0.17385, 17.38511
333333, 1000000, 100, 200, 8,  20000, 0.15251, 15.25169
333333, 1000000, 100, 200, 9,  20000, 0.13542, 13.54285
333333, 1000000, 100, 200, 10,  20000, 0.12203, 12.20374
333333, 1000000, 100, 200, 11,  20000, 0.11074, 11.07458
333333, 1000000, 100, 200, 12,  20000, 0.10177, 10.17736
333333, 1000000, 100, 200, 13,  20000, 0.09361, 9.36167
333333, 1000000, 100, 200, 14,  20000, 0.08698, 8.69828
333333, 1000000, 100, 200, 15,  20000, 0.08122, 8.12146
444444, 1000000, 100, 200, 1,  20000, 0.98757, 98.81032
444444, 1000000, 100, 200, 2,  20000, 0.60686, 60.70945
