SEED, SERVICE_RATE, ARRIVAL_RATE, QUEUE_SIZE,PERIOD,n, LOSS_RATE, OUTPUT_RATE
400243271, 20000, 100, 200, 1,  20000, 0.98763, 98.71181
400243271, 40000, 100, 200, 1,  20000, 0.98763, 98.71181
400243271, 80000, 100, 200, 1,  20000, 0.98763, 98.71181
400243271, 160000, 100, 200, 1,  20000, 0.98763, 98.71181
400243271, 320000, 100, 200, 1,  20000, 0.98763, 98.71181
400243271, 640000, 100, 200, 1,  20000, 0.98763, 98.71181
400243271, 1280000, 100, 200, 1,  20000, 0.98763, 98.71181
400307241, 20000, 100, 200, 1,  20000, 0.98696, 98.67285
400307241, 40000, 100, 200, 1,  20000, 0.98696, 98.67285
400307241, 80000, 100, 200, 1,  20000, 0.98696, 98.67285
400307241, 160000, 100, 200, 1,  20000, 0.98696, 98.67285
400307241, 320000, 100, 200, 1,  20000, 0.98696, 98.67285
400307241, 640000, 100, 200, 1,  20000, 0.98696, 98.67285
400307241, 1280000, 100, 200, 1,  20000, 0.98696, 98.67285
111111, 20000, 100, 200, 1,  20000, 0.98739, 98.78007
111111, 40000, 100, 200, 1,  20000, 0.98739, 98.78007
111111, 80000, 100, 200, 1,  20000, 0.98739, 98.78007
111111, 160000, 100, 200, 1,  20000, 0.98739, 98.78007
111111, 320000, 100, 200, 1,  20000, 0.98739, 98.78007
111111, 640000, 100, 200, 1,  20000, 0.98739, 98.78007
111111, 1280000, 100, 200, 1,  20000, 0.98739, 98.78007
222222, 20000, 100, 200, 1,  20000, 0.98751, 98.78885
222222, 40000, 100, 200, 1,  20000, 0.98751, 98.78885
222222, 80000, 100, 200, 1,  20000, 0.98751, 98.78885
222222, 160000, 100, 200, 1,  20000, 0.98751, 98.78885
222222, 320000, 100, 200, 1,  20000, 0.98751, 98.78885
222222, 640000, 100, 200, 1,  20000, 0.98751, 98.78885
222222, 1280000, 100, 200, 1,  20000, 0.98751, 98.78885
333333, 20000, 100, 200, 1,  20000, 0.98742, 98.75470
333333, 40000, 100, 200, 1,  20000, 0.98742, 98.75470
333333, 80000, 100, 200, 1,  20000, 0.98742, 98.75470
333333, 160000, 100, 200, 1,  20000, 0.98742, 98.75470
333333, 320000, 100, 200, 1,  20000, 0.98742, 98.75470
333333, 640000, 100, 200, 1,  20000, 0.98742, 98.75470
333333, 1280000, 100, 200, 1,  20000, 0.98742, 98.75470
444444, 20000, 100, 200, 1,  20000, 0.98757, 98.81032
444444, 40000, 100, 200, 1,  20000, 0.98757, 98.81032
444444, 80000, 100, 200, 1,  20000, 0.98757, 98.81032
444444, 160000, 100, 200, 1,  20000, 0.98757, 98.81032
444444, 320000, 100, 200, 1,  20000, 0.98757, 98.81032
444444, 640000, 100, 200, 1,  20000, 0.98757, 98.81032
444444, 1280000, 100, 200, 1,  20000, 0.98757, 98.81032
555555, 20000, 100, 200, 1,  20000, 0.98752, 98.77421
555555, 40000, 100, 200, 1,  20000, 0.98752, 98.77421
555555, 80000, 100, 200, 1,  20000, 0.98752, 98.77421
555555, 160000, 100, 200, 1,  20000, 0.98752, 98.77421
555555, 320000, 100, 200, 1,  20000, 0.98752, 98.77421
555555, 640000, 100, 200, 1,  20000, 0.98752, 98.77421
555555, 1280000, 100, 200, 1,  20000, 0.98752, 98.77421
666666, 20000, 100, 200, 1,  20000, 0.98717, 98.69817
666666, 40000, 100, 200, 1,  20000, 0.98717, 98.69817
666666, 80000, 100, 200, 1,  20000, 0.98717, 98.69817
666666, 160000, 100, 200, 1,  20000, 0.98717, 98.69817
666666, 320000, 100, 200, 1,  20000, 0.98717, 98.69817
666666, 640000, 100, 200, 1,  20000, 0.98717, 98.69817
666666, 1280000, 100, 200, 1,  20000, 0.98717, 98.69817
777777, 20000, 100, 200, 1,  20000, 0.98754, 98.74593
777777, 40000, 100, 200, 1,  20000, 0.98754, 98.74593
777777, 80000, 100, 200, 1,  20000, 0.98754, 98.74593
777777, 160000, 100, 200, 1,  20000, 0.98754, 98.74593
777777, 320000, 100, 200, 1,  20000, 0.98754, 98.74593
777777, 640000, 100, 200, 1,  20000, 0.98754, 98.74593
777777, 1280000, 100, 200, 1,  20000, 0.98754, 98.74593
888888, 20000, 100, 200, 1,  20000, 0.98758, 98.69525
888888, 40000, 100, 200, 1,  20000, 0.98758, 98.69525
888888, 80000, 100, 200, 1,  20000, 0.98758, 98.69525
888888, 160000, 100, 200, 1,  20000, 0.98758, 98.69525
888888, 320000, 100, 200, 1,  20000, 0.98758, 98.69525
888888, 640000, 100, 200, 1,  20000, 0.98758, 98.69525
888888, 1280000, 100, 200, 1,  20000, 0.98758, 98.69525
