random seed, packet arrival rate, T, B_T_MAX, B_D_MAX, packet arrival count, number of packets lost, number of packets transmitted, packet loss rate, average output data rate
400243271, 1, 1, 10, 10, 71849815, 1849815, 70000000, 0.026, 0.974 
400307241, 1, 1, 10, 10, 71851380, 1851379, 70000000, 0.026, 0.974 
111111, 1, 1, 10, 10, 71847624, 1847624, 70000000, 0.026, 0.974 
222222, 1, 1, 10, 10, 71850031, 1850031, 70000000, 0.026, 0.974 
333333, 1, 1, 10, 10, 71853932, 1853932, 70000000, 0.026, 0.974 
444444, 1, 1, 10, 10, 71852497, 1852497, 70000000, 0.026, 0.974 
555555, 1, 1, 10, 10, 71842450, 1842450, 70000000, 0.026, 0.974 
666666, 1, 1, 10, 10, 71853752, 1853752, 70000000, 0.026, 0.974 
777777, 1, 1, 10, 10, 71849765, 1849760, 70000000, 0.026, 0.974 
888888, 1, 1, 10, 10, 71838817, 1838809, 70000000, 0.026, 0.974 
400243271, 1, 1, 10, 1, 73543722, 3543722, 70000000, 0.048, 0.952 
400307241, 1, 1, 10, 1, 73543713, 3543713, 70000000, 0.048, 0.952 
111111, 1, 1, 10, 1, 73540413, 3540413, 70000000, 0.048, 0.952 
222222, 1, 1, 10, 1, 73542338, 3542338, 70000000, 0.048, 0.952 
333333, 1, 1, 10, 1, 73544107, 3544107, 70000000, 0.048, 0.952 
444444, 1, 1, 10, 1, 73543467, 3543467, 70000000, 0.048, 0.952 
555555, 1, 1, 10, 1, 73535508, 3535508, 70000000, 0.048, 0.952 
666666, 1, 1, 10, 1, 73545759, 3545759, 70000000, 0.048, 0.952 
777777, 1, 1, 10, 1, 73536231, 3536231, 70000000, 0.048, 0.952 
888888, 1, 1, 10, 1, 73530995, 3530995, 70000000, 0.048, 0.952 
400243271, 1, 1, 10, 2, 73215065, 3215065, 70000000, 0.044, 0.956 
400307241, 1, 1, 10, 2, 73215093, 3215093, 70000000, 0.044, 0.956 
111111, 1, 1, 10, 2, 73211978, 3211978, 70000000, 0.044, 0.956 
222222, 1, 1, 10, 2, 73214040, 3214040, 70000000, 0.044, 0.956 
333333, 1, 1, 10, 2, 73215654, 3215654, 70000000, 0.044, 0.956 
444444, 1, 1, 10, 2, 73215133, 3215133, 70000000, 0.044, 0.956 
555555, 1, 1, 10, 2, 73206804, 3206804, 70000000, 0.044, 0.956 
666666, 1, 1, 10, 2, 73217148, 3217148, 70000000, 0.044, 0.956 
777777, 1, 1, 10, 2, 73208713, 3208713, 70000000, 0.044, 0.956 
888888, 1, 1, 10, 2, 73201876, 3201876, 70000000, 0.044, 0.956 
400243271, 1, 1, 10, 3, 72942564, 2942564, 70000000, 0.040, 0.960 
400307241, 1, 1, 10, 3, 72942813, 2942812, 70000000, 0.040, 0.960 
111111, 1, 1, 10, 3, 72939758, 2939758, 70000000, 0.040, 0.960 
222222, 1, 1, 10, 3, 72941793, 2941793, 70000000, 0.040, 0.960 
333333, 1, 1, 10, 3, 72943450, 2943450, 70000000, 0.040, 0.960 
444444, 1, 1, 10, 3, 72943079, 2943079, 70000000, 0.040, 0.960 
555555, 1, 1, 10, 3, 72934362, 2934362, 70000000, 0.040, 0.960 
666666, 1, 1, 10, 3, 72944865, 2944865, 70000000, 0.040, 0.960 
777777, 1, 1, 10, 3, 72937031, 2937031, 70000000, 0.040, 0.960 
888888, 1, 1, 10, 3, 72929633, 2929633, 70000000, 0.040, 0.960 
400243271, 1, 1, 10, 4, 72712719, 2712717, 70000000, 0.037, 0.963 
400307241, 1, 1, 10, 4, 72713020, 2713020, 70000000, 0.037, 0.963 
111111, 1, 1, 10, 4, 72710378, 2710378, 70000000, 0.037, 0.963 
222222, 1, 1, 10, 4, 72712503, 2712503, 70000000, 0.037, 0.963 
333333, 1, 1, 10, 4, 72714868, 2714866, 70000000, 0.037, 0.963 
444444, 1, 1, 10, 4, 72713530, 2713530, 70000000, 0.037, 0.963 
555555, 1, 1, 10, 4, 72704895, 2704894, 70000000, 0.037, 0.963 
666666, 1, 1, 10, 4, 72715395, 2715395, 70000000, 0.037, 0.963 
777777, 1, 1, 10, 4, 72708263, 2708263, 70000000, 0.037, 0.963 
888888, 1, 1, 10, 4, 72700002, 2700002, 70000000, 0.037, 0.963 
400243271, 1, 1, 10, 5, 72516708, 2516704, 70000000, 0.035, 0.965 
400307241, 1, 1, 10, 5, 72517440, 2517440, 70000000, 0.035, 0.965 
111111, 1, 1, 10, 5, 72514800, 2514800, 70000000, 0.035, 0.965 
222222, 1, 1, 10, 5, 72516586, 2516586, 70000000, 0.035, 0.965 
333333, 1, 1, 10, 5, 72519504, 2519504, 70000000, 0.035, 0.965 
444444, 1, 1, 10, 5, 72518009, 2518009, 70000000, 0.035, 0.965 
555555, 1, 1, 10, 5, 72508594, 2508593, 70000000, 0.035, 0.965 
666666, 1, 1, 10, 5, 72519585, 2519585, 70000000, 0.035, 0.965 
777777, 1, 1, 10, 5, 72513071, 2513071, 70000000, 0.035, 0.965 
888888, 1, 1, 10, 5, 72503987, 2503986, 70000000, 0.035, 0.965 
400243271, 1, 1, 10, 6, 72347240, 2347235, 70000000, 0.032, 0.968 
400307241, 1, 1, 10, 6, 72348379, 2348379, 70000000, 0.032, 0.968 
111111, 1, 1, 10, 6, 72345127, 2345124, 70000000, 0.032, 0.968 
222222, 1, 1, 10, 6, 72347054, 2347054, 70000000, 0.032, 0.968 
333333, 1, 1, 10, 6, 72349864, 2349863, 70000000, 0.032, 0.968 
444444, 1, 1, 10, 6, 72348488, 2348488, 70000000, 0.032, 0.968 
555555, 1, 1, 10, 6, 72339048, 2339043, 70000000, 0.032, 0.968 
666666, 1, 1, 10, 6, 72349810, 2349810, 70000000, 0.032, 0.968 
777777, 1, 1, 10, 6, 72344324, 2344324, 70000000, 0.032, 0.968 
888888, 1, 1, 10, 6, 72334901, 2334901, 70000000, 0.032, 0.968 
400243271, 1, 1, 10, 7, 72199218, 2199212, 70000000, 0.030, 0.970 
400307241, 1, 1, 10, 7, 72200549, 2200549, 70000000, 0.030, 0.970 
111111, 1, 1, 10, 7, 72197196, 2197196, 70000000, 0.030, 0.970 
222222, 1, 1, 10, 7, 72199625, 2199619, 70000000, 0.030, 0.970 
333333, 1, 1, 10, 7, 72202111, 2202111, 70000000, 0.030, 0.970 
444444, 1, 1, 10, 7, 72201099, 2201096, 70000000, 0.030, 0.970 
555555, 1, 1, 10, 7, 72191241, 2191240, 70000000, 0.030, 0.970 
666666, 1, 1, 10, 7, 72202294, 2202293, 70000000, 0.031, 0.970 
777777, 1, 1, 10, 7, 72197278, 2197278, 70000000, 0.030, 0.970 
888888, 1, 1, 10, 7, 72187130, 2187130, 70000000, 0.030, 0.970 
400243271, 1, 1, 10, 8, 72069108, 2069108, 70000000, 0.029, 0.971 
400307241, 1, 1, 10, 8, 72070489, 2070482, 70000000, 0.029, 0.971 
111111, 1, 1, 10, 8, 72066362, 2066362, 70000000, 0.029, 0.971 
222222, 1, 1, 10, 8, 72068959, 2068959, 70000000, 0.029, 0.971 
333333, 1, 1, 10, 8, 72072357, 2072357, 70000000, 0.029, 0.971 
444444, 1, 1, 10, 8, 72071368, 2071368, 70000000, 0.029, 0.971 
555555, 1, 1, 10, 8, 72061393, 2061392, 70000000, 0.029, 0.971 
666666, 1, 1, 10, 8, 72072181, 2072181, 70000000, 0.029, 0.971 
777777, 1, 1, 10, 8, 72067867, 2067860, 70000000, 0.029, 0.971 
888888, 1, 1, 10, 8, 72057064, 2057060, 70000000, 0.029, 0.971 
400243271, 1, 1, 10, 9, 71953396, 1953396, 70000000, 0.027, 0.973 
400307241, 1, 1, 10, 9, 71954650, 1954642, 70000000, 0.027, 0.973 
111111, 1, 1, 10, 9, 71950605, 1950599, 70000000, 0.027, 0.973 
222222, 1, 1, 10, 9, 71953361, 1953357, 70000000, 0.027, 0.973 
333333, 1, 1, 10, 9, 71956864, 1956864, 70000000, 0.027, 0.973 
444444, 1, 1, 10, 9, 71956034, 1956026, 70000000, 0.027, 0.973 
555555, 1, 1, 10, 9, 71945253, 1945253, 70000000, 0.027, 0.973 
666666, 1, 1, 10, 9, 71956566, 1956566, 70000000, 0.027, 0.973 
777777, 1, 1, 10, 9, 71952761, 1952761, 70000000, 0.027, 0.973 
888888, 1, 1, 10, 9, 71941783, 1941781, 70000000, 0.027, 0.973 
400243271, 1, 1, 1, 10, 110740687, 40740678, 70000000, 0.368, 0.632 
400307241, 1, 1, 1, 10, 110740341, 40740332, 70000000, 0.368, 0.632 
111111, 1, 1, 1, 10, 110741238, 40741229, 70000000, 0.368, 0.632 
222222, 1, 1, 1, 10, 110742182, 40742173, 70000000, 0.368, 0.632 
333333, 1, 1, 1, 10, 110745844, 40745835, 70000000, 0.368, 0.632 
444444, 1, 1, 1, 10, 110743256, 40743247, 70000000, 0.368, 0.632 
555555, 1, 1, 1, 10, 110727643, 40727634, 70000000, 0.368, 0.632 
666666, 1, 1, 1, 10, 110741308, 40741299, 70000000, 0.368, 0.632 
777777, 1, 1, 1, 10, 110737161, 40737152, 70000000, 0.368, 0.632 
888888, 1, 1, 1, 10, 110737502, 40737493, 70000000, 0.368, 0.632 
400243271, 1, 1, 1, 1, 110740687, 40740687, 70000000, 0.368, 0.632 
400307241, 1, 1, 1, 1, 110740341, 40740341, 70000000, 0.368, 0.632 
111111, 1, 1, 1, 1, 110741238, 40741238, 70000000, 0.368, 0.632 
222222, 1, 1, 1, 1, 110742182, 40742182, 70000000, 0.368, 0.632 
333333, 1, 1, 1, 1, 110745844, 40745844, 70000000, 0.368, 0.632 
444444, 1, 1, 1, 1, 110743258, 40743258, 70000000, 0.368, 0.632 
555555, 1, 1, 1, 1, 110727643, 40727643, 70000000, 0.368, 0.632 
666666, 1, 1, 1, 1, 110741308, 40741308, 70000000, 0.368, 0.632 
777777, 1, 1, 1, 1, 110737161, 40737161, 70000000, 0.368, 0.632 
888888, 1, 1, 1, 1, 110737502, 40737502, 70000000, 0.368, 0.632 
400243271, 1, 1, 1, 2, 110740687, 40740686, 70000000, 0.368, 0.632 
400307241, 1, 1, 1, 2, 110740341, 40740340, 70000000, 0.368, 0.632 
111111, 1, 1, 1, 2, 110741238, 40741237, 70000000, 0.368, 0.632 
222222, 1, 1, 1, 2, 110742182, 40742181, 70000000, 0.368, 0.632 
333333, 1, 1, 1, 2, 110745844, 40745843, 70000000, 0.368, 0.632 
444444, 1, 1, 1, 2, 110743256, 40743255, 70000000, 0.368, 0.632 
555555, 1, 1, 1, 2, 110727643, 40727642, 70000000, 0.368, 0.632 
666666, 1, 1, 1, 2, 110741308, 40741307, 70000000, 0.368, 0.632 
777777, 1, 1, 1, 2, 110737161, 40737160, 70000000, 0.368, 0.632 
888888, 1, 1, 1, 2, 110737502, 40737501, 70000000, 0.368, 0.632 
400243271, 1, 1, 1, 3, 110740687, 40740685, 70000000, 0.368, 0.632 
400307241, 1, 1, 1, 3, 110740341, 40740339, 70000000, 0.368, 0.632 
111111, 1, 1, 1, 3, 110741238, 40741236, 70000000, 0.368, 0.632 
222222, 1, 1, 1, 3, 110742182, 40742180, 70000000, 0.368, 0.632 
333333, 1, 1, 1, 3, 110745844, 40745842, 70000000, 0.368, 0.632 
444444, 1, 1, 1, 3, 110743256, 40743254, 70000000, 0.368, 0.632 
