random seed, packet arrival rate, T, B_T_MAX, B_D_MAX, packet arrival count, number of packets lost, number of packets transmitted, packet loss rate, average output data rate
400243271, 0.04, 1, 150, 10, 70000014, 14, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 150, 10, 70000031, 31, 70000000, 0.000, 0.600 
111111, 0.04, 1, 150, 10, 70000014, 14, 70000000, 0.000, 0.600 
222222, 0.04, 1, 150, 10, 70000011, 11, 70000000, 0.000, 0.600 
333333, 0.04, 1, 150, 10, 70000000, 0, 70000000, 0.000, 0.600 
444444, 0.04, 1, 150, 10, 70000004, 4, 70000000, 0.000, 0.600 
555555, 0.04, 1, 150, 10, 70000006, 6, 70000000, 0.000, 0.600 
666666, 0.04, 1, 150, 10, 70000014, 14, 70000000, 0.000, 0.600 
777777, 0.04, 1, 150, 10, 70000003, 3, 70000000, 0.000, 0.600 
888888, 0.04, 1, 150, 10, 70000008, 8, 70000000, 0.000, 0.600 
400243271, 0.04, 1, 150, 2, 70010698, 10698, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 150, 2, 70010756, 10756, 70000000, 0.000, 0.600 
111111, 0.04, 1, 150, 2, 70010330, 10330, 70000000, 0.000, 0.600 
222222, 0.04, 1, 150, 2, 70010395, 10395, 70000000, 0.000, 0.600 
333333, 0.04, 1, 150, 2, 70010613, 10613, 70000000, 0.000, 0.600 
444444, 0.04, 1, 150, 2, 70010578, 10578, 70000000, 0.000, 0.600 
555555, 0.04, 1, 150, 2, 70010619, 10619, 70000000, 0.000, 0.600 
666666, 0.04, 1, 150, 2, 70011186, 11186, 70000000, 0.000, 0.600 
777777, 0.04, 1, 150, 2, 70010675, 10675, 70000000, 0.000, 0.600 
888888, 0.04, 1, 150, 2, 70010655, 10655, 70000000, 0.000, 0.600 
400243271, 0.04, 1, 150, 4, 70002084, 2084, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 150, 4, 70002010, 2010, 70000000, 0.000, 0.600 
111111, 0.04, 1, 150, 4, 70001877, 1877, 70000000, 0.000, 0.600 
222222, 0.04, 1, 150, 4, 70001956, 1956, 70000000, 0.000, 0.600 
333333, 0.04, 1, 150, 4, 70001872, 1872, 70000000, 0.000, 0.600 
444444, 0.04, 1, 150, 4, 70001975, 1975, 70000000, 0.000, 0.600 
555555, 0.04, 1, 150, 4, 70002055, 2055, 70000000, 0.000, 0.600 
666666, 0.04, 1, 150, 4, 70002055, 2055, 70000000, 0.000, 0.600 
777777, 0.04, 1, 150, 4, 70002051, 2051, 70000000, 0.000, 0.600 
888888, 0.04, 1, 150, 4, 70001929, 1929, 70000000, 0.000, 0.600 
400243271, 0.04, 1, 150, 6, 70000374, 374, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 150, 6, 70000356, 356, 70000000, 0.000, 0.600 
111111, 0.04, 1, 150, 6, 70000346, 346, 70000000, 0.000, 0.600 
222222, 0.04, 1, 150, 6, 70000338, 338, 70000000, 0.000, 0.600 
333333, 0.04, 1, 150, 6, 70000337, 337, 70000000, 0.000, 0.600 
444444, 0.04, 1, 150, 6, 70000334, 334, 70000000, 0.000, 0.600 
555555, 0.04, 1, 150, 6, 70000387, 387, 70000000, 0.000, 0.600 
666666, 0.04, 1, 150, 6, 70000347, 347, 70000000, 0.000, 0.600 
777777, 0.04, 1, 150, 6, 70000427, 427, 70000000, 0.000, 0.600 
888888, 0.04, 1, 150, 6, 70000329, 329, 70000000, 0.000, 0.600 
400243271, 0.04, 1, 150, 8, 70000046, 46, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 150, 8, 70000064, 64, 70000000, 0.000, 0.600 
111111, 0.04, 1, 150, 8, 70000044, 44, 70000000, 0.000, 0.600 
222222, 0.04, 1, 150, 8, 70000059, 59, 70000000, 0.000, 0.600 
333333, 0.04, 1, 150, 8, 70000064, 64, 70000000, 0.000, 0.600 
444444, 0.04, 1, 150, 8, 70000064, 64, 70000000, 0.000, 0.600 
555555, 0.04, 1, 150, 8, 70000070, 70, 70000000, 0.000, 0.600 
666666, 0.04, 1, 150, 8, 70000087, 87, 70000000, 0.000, 0.600 
777777, 0.04, 1, 150, 8, 70000065, 65, 70000000, 0.000, 0.600 
888888, 0.04, 1, 150, 8, 70000036, 34, 70000000, 0.000, 0.600 
400243271, 0.04, 1, 250, 10, 70000000, 0, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 250, 10, 70000002, 2, 70000000, 0.000, 0.600 
111111, 0.04, 1, 250, 10, 70000000, 0, 70000000, 0.000, 0.600 
222222, 0.04, 1, 250, 10, 70000000, 0, 70000000, 0.000, 0.600 
333333, 0.04, 1, 250, 10, 70000000, 0, 70000000, 0.000, 0.600 
444444, 0.04, 1, 250, 10, 70000000, 0, 70000000, 0.000, 0.600 
555555, 0.04, 1, 250, 10, 70000000, 0, 70000000, 0.000, 0.600 
666666, 0.04, 1, 250, 10, 70000000, 0, 70000000, 0.000, 0.600 
777777, 0.04, 1, 250, 10, 70000000, 0, 70000000, 0.000, 0.600 
888888, 0.04, 1, 250, 10, 70000000, 0, 70000000, 0.000, 0.600 
400243271, 0.04, 1, 250, 2, 70000061, 61, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 250, 2, 70000061, 61, 70000000, 0.000, 0.600 
111111, 0.04, 1, 250, 2, 70000060, 60, 70000000, 0.000, 0.600 
222222, 0.04, 1, 250, 2, 70000048, 48, 70000000, 0.000, 0.600 
333333, 0.04, 1, 250, 2, 70000038, 38, 70000000, 0.000, 0.600 
444444, 0.04, 1, 250, 2, 70000050, 50, 70000000, 0.000, 0.600 
555555, 0.04, 1, 250, 2, 70000050, 50, 70000000, 0.000, 0.600 
666666, 0.04, 1, 250, 2, 70000065, 65, 70000000, 0.000, 0.600 
777777, 0.04, 1, 250, 2, 70000058, 58, 70000000, 0.000, 0.600 
888888, 0.04, 1, 250, 2, 70000041, 41, 70000000, 0.000, 0.600 
400243271, 0.04, 1, 250, 4, 70000005, 5, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 250, 4, 70000020, 20, 70000000, 0.000, 0.600 
111111, 0.04, 1, 250, 4, 70000002, 2, 70000000, 0.000, 0.600 
222222, 0.04, 1, 250, 4, 70000011, 11, 70000000, 0.000, 0.600 
333333, 0.04, 1, 250, 4, 70000000, 0, 70000000, 0.000, 0.600 
444444, 0.04, 1, 250, 4, 70000006, 6, 70000000, 0.000, 0.600 
555555, 0.04, 1, 250, 4, 70000006, 6, 70000000, 0.000, 0.600 
666666, 0.04, 1, 250, 4, 70000014, 14, 70000000, 0.000, 0.600 
777777, 0.04, 1, 250, 4, 70000005, 5, 70000000, 0.000, 0.600 
888888, 0.04, 1, 250, 4, 70000007, 7, 70000000, 0.000, 0.600 
400243271, 0.04, 1, 250, 6, 70000004, 4, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 250, 6, 70000012, 12, 70000000, 0.000, 0.600 
111111, 0.04, 1, 250, 6, 70000000, 0, 70000000, 0.000, 0.600 
222222, 0.04, 1, 250, 6, 70000000, 0, 70000000, 0.000, 0.600 
333333, 0.04, 1, 250, 6, 70000000, 0, 70000000, 0.000, 0.600 
444444, 0.04, 1, 250, 6, 70000001, 1, 70000000, 0.000, 0.600 
555555, 0.04, 1, 250, 6, 70000001, 1, 70000000, 0.000, 0.600 
666666, 0.04, 1, 250, 6, 70000004, 4, 70000000, 0.000, 0.600 
777777, 0.04, 1, 250, 6, 70000001, 1, 70000000, 0.000, 0.600 
888888, 0.04, 1, 250, 6, 70000000, 0, 70000000, 0.000, 0.600 
400243271, 0.04, 1, 250, 8, 70000001, 1, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 250, 8, 70000003, 3, 70000000, 0.000, 0.600 
111111, 0.04, 1, 250, 8, 70000000, 0, 70000000, 0.000, 0.600 
222222, 0.04, 1, 250, 8, 70000000, 0, 70000000, 0.000, 0.600 
333333, 0.04, 1, 250, 8, 70000000, 0, 70000000, 0.000, 0.600 
444444, 0.04, 1, 250, 8, 70000000, 0, 70000000, 0.000, 0.600 
555555, 0.04, 1, 250, 8, 70000000, 0, 70000000, 0.000, 0.600 
666666, 0.04, 1, 250, 8, 70000000, 0, 70000000, 0.000, 0.600 
777777, 0.04, 1, 250, 8, 70000000, 0, 70000000, 0.000, 0.600 
888888, 0.04, 1, 250, 8, 70000000, 0, 70000000, 0.000, 0.600 
400243271, 0.04, 1, 50, 10, 70008911, 8911, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 50, 10, 70008445, 8445, 70000000, 0.000, 0.600 
111111, 0.04, 1, 50, 10, 70008153, 8153, 70000000, 0.000, 0.600 
222222, 0.04, 1, 50, 10, 70008446, 8444, 70000000, 0.000, 0.600 
333333, 0.04, 1, 50, 10, 70008342, 8342, 70000000, 0.000, 0.600 
444444, 0.04, 1, 50, 10, 70008566, 8563, 70000000, 0.000, 0.600 
555555, 0.04, 1, 50, 10, 70008531, 8531, 70000000, 0.000, 0.600 
666666, 0.04, 1, 50, 10, 70008790, 8788, 70000000, 0.000, 0.600 
777777, 0.04, 1, 50, 10, 70008828, 8825, 70000000, 0.000, 0.600 
888888, 0.04, 1, 50, 10, 70008577, 8576, 70000000, 0.000, 0.600 
400243271, 0.04, 1, 50, 2, 72011272, 2011271, 70000000, 0.028, 0.583 
400307241, 0.04, 1, 50, 2, 72015027, 2015027, 70000000, 0.028, 0.583 
111111, 0.04, 1, 50, 2, 72012017, 2012017, 70000000, 0.028, 0.583 
222222, 0.04, 1, 50, 2, 72008868, 2008868, 70000000, 0.028, 0.583 
333333, 0.04, 1, 50, 2, 72010668, 2010668, 70000000, 0.028, 0.583 
444444, 0.04, 1, 50, 2, 72013237, 2013237, 70000000, 0.028, 0.583 
555555, 0.04, 1, 50, 2, 72008535, 2008535, 70000000, 0.028, 0.583 
666666, 0.04, 1, 50, 2, 72011220, 2011220, 70000000, 0.028, 0.583 
777777, 0.04, 1, 50, 2, 72014023, 2014023, 70000000, 0.028, 0.583 
888888, 0.04, 1, 50, 2, 72011801, 2011801, 70000000, 0.028, 0.583 
400243271, 0.04, 1, 50, 4, 70494319, 494318, 70000000, 0.007, 0.596 
400307241, 0.04, 1, 50, 4, 70495821, 495821, 70000000, 0.007, 0.596 
111111, 0.04, 1, 50, 4, 70493142, 493142, 70000000, 0.007, 0.596 
222222, 0.04, 1, 50, 4, 70491452, 491452, 70000000, 0.007, 0.596 
333333, 0.04, 1, 50, 4, 70492847, 492847, 70000000, 0.007, 0.596 
444444, 0.04, 1, 50, 4, 70494621, 494619, 70000000, 0.007, 0.596 
555555, 0.04, 1, 50, 4, 70492561, 492561, 70000000, 0.007, 0.596 
666666, 0.04, 1, 50, 4, 70494327, 494327, 70000000, 0.007, 0.596 
777777, 0.04, 1, 50, 4, 70495925, 495925, 70000000, 0.007, 0.596 
888888, 0.04, 1, 50, 4, 70493289, 493289, 70000000, 0.007, 0.596 
400243271, 0.04, 1, 50, 6, 70128682, 128682, 70000000, 0.002, 0.599 
400307241, 0.04, 1, 50, 6, 70129021, 129021, 70000000, 0.002, 0.599 
111111, 0.04, 1, 50, 6, 70127755, 127755, 70000000, 0.002, 0.599 
222222, 0.04, 1, 50, 6, 70126680, 126680, 70000000, 0.002, 0.599 
333333, 0.04, 1, 50, 6, 70127998, 127998, 70000000, 0.002, 0.599 
444444, 0.04, 1, 50, 6, 70128390, 128390, 70000000, 0.002, 0.599 
555555, 0.04, 1, 50, 6, 70128154, 128154, 70000000, 0.002, 0.599 
666666, 0.04, 1, 50, 6, 70129387, 129387, 70000000, 0.002, 0.599 
777777, 0.04, 1, 50, 6, 70129951, 129951, 70000000, 0.002, 0.599 
888888, 0.04, 1, 50, 6, 70127911, 127909, 70000000, 0.002, 0.599 
400243271, 0.04, 1, 50, 8, 70033685, 33685, 70000000, 0.000, 0.600 
400307241, 0.04, 1, 50, 8, 70033678, 33677, 70000000, 0.000, 0.600 
111111, 0.04, 1, 50, 8, 70032777, 32777, 70000000, 0.000, 0.600 
222222, 0.04, 1, 50, 8, 70033010, 33010, 70000000, 0.000, 0.600 
333333, 0.04, 1, 50, 8, 70033123, 33123, 70000000, 0.000, 0.600 
444444, 0.04, 1, 50, 8, 70033294, 33294, 70000000, 0.000, 0.600 
555555, 0.04, 1, 50, 8, 70033541, 33541, 70000000, 0.000, 0.600 
666666, 0.04, 1, 50, 8, 70033860, 33860, 70000000, 0.000, 0.600 
777777, 0.04, 1, 50, 8, 70034383, 34383, 70000000, 0.000, 0.600 
888888, 0.04, 1, 50, 8, 70033392, 33392, 70000000, 0.000, 0.600 
